,x_value,x_is_imputed,x_is_one_datapoint,x_is_significant,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_significant,y_is_infinite,z_value,z_is_imputed,z_is_one_datapoint,z_is_significant,z_is_infinite,used_for_normalisation,marcs_feature_classification,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
FAT1,0.9825597331883102,False,False,False,False,-0.9825525596284984,False,False,False,False,1.9651122928168083,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9825597331883102,-0.9825525596284984
FBL,1.0653582051689303,False,False,True,False,0.5752348804174865,False,False,True,False,0.490123324751444,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0653582051689303,0.5752348804174865
FBLN1,0.0012595073355363,False,False,False,False,-0.0083461131834887,False,False,False,False,0.0096056205190251,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0012595073355363,-0.0083461131834887
FBN1,0.3788359918837152,False,False,False,False,0.7711335352300814,False,True,False,False,-0.3922975433463662,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.3788359918837152,0.7711335352300814
FEN1,1.2950346088798277,False,False,True,False,1.0576917617210455,False,False,False,False,0.2373428471587821,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2950346088798277,1.0576917617210455
FERMT2,0.719349187744605,True,True,False,False,0.3117259651047313,True,True,False,False,0.4076232226398737,False,False,False,False,False,,True,True,True,True,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.719349187744605,0.3117259651047313
FHL1,0.765656581418753,False,False,False,False,0.9856224275402532,False,False,False,False,-0.2199658461215001,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.765656581418753,0.9856224275402532
FHL2,1.0667520088865243,False,False,True,False,0.3432950202539544,False,False,False,False,0.7234569886325701,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0667520088865243,0.3432950202539544
FKBP10,1.037797410706819,False,False,False,False,0.628923106610273,False,True,False,False,0.4088743040965461,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.037797410706819,0.628923106610273
FKBP3,1.9679793657215043,False,False,True,False,1.1549671809560955,False,False,False,False,0.8130121847654088,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.9679793657215043,1.1549671809560955
FKBP9,-inf,True,False,False,True,0.1135183797583359,False,False,False,False,-inf,True,False,False,True,False,,False,True,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,<,False,-3.1125,0.1135183797583359
FLG,1.325128730196667,False,False,False,False,1.4409067798525117,False,False,False,False,-0.1157780496558444,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.325128730196667,1.4409067798525117
FLG2,0.2712869445801331,False,False,False,False,1.059835652253689,False,False,False,False,-0.7885487076735558,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2712869445801331,1.059835652253689
FLII,1.2912636812069778,False,False,False,False,-inf,True,False,False,True,inf,True,False,False,True,False,,True,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,v,False,1.2912636812069778,-3.1125
FLNA,0.7264367296522032,False,False,True,False,0.392674929907244,False,False,False,False,0.3337617997449591,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7264367296522032,0.392674929907244
FLNB,0.9655248909013494,False,False,True,False,0.6530718578220238,False,False,True,False,0.3124530330793256,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9655248909013494,0.6530718578220238
FLNC,3.050460304291601,False,False,False,False,-0.2361642864968196,False,False,False,False,3.2866245907884206,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,3.050460304291601,-0.2361642864968196
FN1,0.5712194394009877,False,False,False,False,-0.1441618687865506,False,False,False,False,0.7153813081875384,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5712194394009877,-0.1441618687865506
FNDC3B,1.830847412536862,False,False,True,False,-inf,True,False,False,True,inf,True,False,False,True,False,,True,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,v,False,1.830847412536862,-3.1125
FSCN1,1.830721711191277,False,False,False,False,1.023038306614854,False,False,False,False,0.807683404576423,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.830721711191277,1.023038306614854
FTSJ3,-1.2492164573973703,False,False,False,False,-0.4245974253857554,False,False,False,False,-0.8246190320116149,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.2492164573973703,-0.4245974253857554
FUBP1,2.457265237313152,False,False,True,False,1.1593976401618384,False,False,True,False,1.2978675971513134,False,False,True,False,False,,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,2.457265237313152,1.1593976401618384
FUBP3,2.28364534288157,False,False,True,False,-0.0372069359293369,False,False,False,False,2.320852278810907,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.28364534288157,-0.0372069359293369
FUS,3.0914516852709006,False,False,True,False,1.819938530802801,False,False,True,False,1.271513154468099,False,False,True,False,False,Neither,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,3.0914516852709006,1.819938530802801
FXR1,1.9015045790843563,False,False,True,False,1.4352630365269476,False,False,True,False,0.4662415425574089,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.9015045790843563,1.4352630365269476
G3BP1,1.4339780310874986,False,False,True,False,0.9936109639309194,False,False,True,False,0.4403670671565791,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4339780310874986,0.9936109639309194
G3BP2,1.5746482398974706,False,False,True,False,1.2093931819720505,False,False,True,False,0.3652550579254203,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.5746482398974706,1.2093931819720505
GANAB,2.454686322022635,False,False,True,False,2.0405072850587445,False,False,True,False,0.4141790369638904,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.454686322022635,2.0405072850587445
GAPDH,0.8439746547423468,False,False,False,False,0.3711939073090562,False,False,False,False,0.4727807474332905,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8439746547423468,0.3711939073090562
GAR1,2.1311346435425165,False,False,True,False,0.8869901564575251,False,False,True,False,1.2441444870849914,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,2.1311346435425165,0.8869901564575251
GCN1,0.7768106061695299,True,True,False,False,0.8785318770597037,True,True,False,False,-0.1017212708901773,False,True,False,False,False,,True,True,True,True,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.7768106061695299,0.8785318770597037
GDI2,0.933605195012074,False,False,False,False,0.3054970889211326,False,True,False,False,0.6281081060909415,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.933605195012074,0.3054970889211326
GLYR1,-0.7772195402902398,False,False,False,False,0.5262854249532651,False,False,False,False,-1.303504965243505,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7772195402902398,0.5262854249532651
GMPS,0.6041238002994227,False,False,False,False,-1.9837041893212584,False,True,False,False,2.5878279896206813,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.6041238002994227,-1.9837041893212584
GNB1,0.8429022601261948,False,False,True,False,0.5519383147920003,False,False,False,False,0.2909639453341945,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8429022601261948,0.5519383147920003
GNL2,0.3826318623126923,False,False,False,False,1.2596767950887866,False,False,True,False,-0.8770449327760943,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3826318623126923,1.2596767950887866
GNL3,0.1000856741390912,False,False,False,False,0.2132671889787545,False,False,False,False,-0.1131815148396633,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1000856741390912,0.2132671889787545
GOLGA3,inf,True,False,False,True,inf,True,False,False,True,-2.2024389334244248,False,False,True,False,False,,False,False,False,True,True,True,,True,#bdbdbd,black,3,0.8,#525252,0.35,4,diag-up-right,False,5.993881793194984,6.0717465212022095
GOLGB1,-inf,True,False,False,True,-0.1629197847749246,True,False,False,False,-inf,True,False,False,True,False,,False,True,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,<,False,-3.1125,-0.1629197847749246
GRN,2.1120324771624404,False,False,True,False,0.4773498105993923,False,False,False,False,1.634682666563048,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.1120324771624404,0.4773498105993923
GSDMA,1.2957174105855245,False,False,False,False,1.829483192544952,False,False,False,False,-0.5337657819594277,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2957174105855245,1.829483192544952
GSN,1.1738576667375469,False,False,True,False,0.6118717381452221,False,False,False,False,0.5619859285923248,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.1738576667375469,0.6118717381452221
GSTP1,0.089934321289455,False,False,False,False,0.4231504455995392,False,False,False,False,-0.3332161243100842,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.089934321289455,0.4231504455995392
GTF2F2,1.173605055700186,False,False,True,False,0.1742308744994325,False,False,False,False,0.9993741812007536,False,False,True,False,False,,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,1.173605055700186,0.1742308744994325
GTF2I,0.9498057922381342,False,False,False,False,0.424970233638998,False,False,False,False,0.5248355585991362,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9498057922381342,0.424970233638998
GTPBP4,0.9931609817217542,False,False,True,False,1.4132241459253585,False,False,True,False,-0.4200631642036043,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9931609817217542,1.4132241459253585
H1-0,-0.8951304701769232,False,False,True,False,0.10442906145866,False,False,False,False,-0.9995595316355832,False,False,True,False,False,Neither,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,-0.8951304701769232,0.10442906145866
H1-1,-0.983621792848524,False,False,True,False,-0.070684269284154,False,False,False,False,-0.91293752356437,False,False,True,False,False,,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,-0.983621792848524,-0.070684269284154
H1-10,0.0358222693598122,False,False,False,False,0.1357096227613716,False,False,False,False,-0.0998873534015594,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0358222693598122,0.1357096227613716
H1-5,-0.7464143627307358,False,False,True,False,0.0430344247094574,False,False,False,False,-0.7894487874401932,False,False,True,False,False,Neither,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,-0.7464143627307358,0.0430344247094574
H2AC20,-0.6631210202041693,False,False,False,False,-0.4942437643343922,False,False,False,False,-0.1688772558697771,False,False,False,False,True,Neither,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,-0.6631210202041693,-0.4942437643343922
H2AC21,-0.5888167139321538,False,False,False,False,0.438941408705169,False,False,False,False,-1.027758122637323,False,False,False,False,True,,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,-0.5888167139321538,0.438941408705169
H2AW,-0.6085204544720142,False,False,False,False,-0.5633003202338678,False,False,False,False,-0.0452201342381464,False,False,False,False,True,Neither,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,-0.6085204544720142,-0.5633003202338678
H2AZ2,0.8465088868630524,False,False,True,False,0.1068103487264267,False,False,False,False,0.7396985381366257,False,False,False,False,True,Neither,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,0.8465088868630524,0.1068103487264267
H2BC4,0.0414643381025818,False,False,False,False,0.2198116590541197,False,False,False,False,-0.1783473209515378,False,False,False,False,True,Neither,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,0.0414643381025818,0.2198116590541197
H2BU1,-0.2716097867502824,False,False,False,False,-0.3146941201158952,False,False,False,False,0.0430843333656127,False,False,False,False,True,,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,-0.2716097867502824,-0.3146941201158952
H3-2,0.4475466047472096,False,False,False,False,0.4158755688298186,False,False,False,False,0.031671035917391,False,False,False,False,True,,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,0.4475466047472096,0.4158755688298186
H4C1,-0.1465591129321595,False,False,False,False,-0.116648510152828,False,False,False,False,-0.0299106027793314,False,False,False,False,True,Neither,True,True,False,False,False,False,,False,#5e5e5e,black,2,0.8,#CDCDCD,0.35,8,o,False,-0.1465591129321595,-0.116648510152828
HAL,1.3842361964890737,False,False,True,False,1.0737785999563627,False,False,False,False,0.3104575965327107,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3842361964890737,1.0737785999563627
HBD,0.1789725240231447,False,False,False,False,-0.3497508680031025,False,False,False,False,0.5287233920262473,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1789725240231447,-0.3497508680031025
HDAC1,2.699097197028969,False,False,True,False,0.6809472613080878,False,False,True,False,2.0181499357208814,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,2.699097197028969,0.6809472613080878
HDGF,0.2677289187648632,False,False,False,False,0.3531120343215512,False,False,False,False,-0.0853831155566879,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2677289187648632,0.3531120343215512
HDGFL2,1.3466920410030347,False,False,True,False,0.8461130946870554,False,False,False,False,0.5005789463159793,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3466920410030347,0.8461130946870554
HDGFL3,-0.1767706518848228,False,False,False,False,0.4205199608069065,False,False,False,False,-0.5972906126917295,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1767706518848228,0.4205199608069065
HDLBP,0.6344915279290682,False,False,True,False,0.9043584535896868,False,False,True,False,-0.2698669256606187,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6344915279290682,0.9043584535896868
HEATR1,1.5805467053282811,False,False,True,False,0.2387139635665924,False,False,False,False,1.3418327417616889,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.5805467053282811,0.2387139635665924
HLA-A,1.7895226955496462,True,True,False,False,0.7744547318439139,True,False,False,False,1.0150679637057358,False,True,False,False,False,,True,True,True,True,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.7895226955496462,0.7744547318439139
HMG20A,-0.5973314223782147,False,False,False,False,0.5075336066706733,False,False,False,False,-1.104865029048888,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5973314223782147,0.5075336066706733
HMGA1,-0.4572087412911187,False,False,False,False,0.2019031648294706,False,False,False,False,-0.6591119061205895,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4572087412911187,0.2019031648294706
HMGA2,-0.5056950177112967,False,False,False,False,0.4451803487135066,False,False,False,False,-0.9508753664248032,False,False,True,False,False,,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,-0.5056950177112967,0.4451803487135066
HMGB1,0.0153442469307805,False,False,False,False,0.0525423769650963,False,False,False,False,-0.0371981300343158,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0153442469307805,0.0525423769650963
HMGB2,-0.0363968291366845,False,False,False,False,0.1611113951040756,False,False,False,False,-0.1975082242407602,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0363968291366845,0.1611113951040756
HMGB3,-0.2862104389833284,False,False,False,False,-0.0697908745654452,False,False,False,False,-0.2164195644178832,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2862104389833284,-0.0697908745654452
HMGN1,0.307764967932286,False,False,False,False,1.4073591589928045,False,False,False,False,-1.0995941910605185,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.307764967932286,1.4073591589928045
HMGN2,-0.1692701771683751,False,False,False,False,-0.459603470455356,False,False,False,False,0.2903332932869809,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1692701771683751,-0.459603470455356
HNRNPA0,1.3657959632223289,False,False,True,False,0.762424213381248,False,False,True,False,0.6033717498410809,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3657959632223289,0.762424213381248
HNRNPA1,1.3847640905263958,False,False,True,False,0.3185138101269622,False,False,False,False,1.0662502803994336,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,1.3847640905263958,0.3185138101269622
HNRNPA2B1,1.6416062857836948,False,False,True,False,0.4290714526821091,False,False,False,False,1.2125348331015855,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,1.6416062857836948,0.4290714526821091
HNRNPA3,1.455656501138204,False,False,False,False,3.4041890297303468,False,False,True,False,-1.9485325285921429,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.455656501138204,3.4041890297303468
HNRNPAB,1.7716696871061617,False,False,True,False,1.2276298609731562,False,False,True,False,0.5440398261330053,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.7716696871061617,1.2276298609731562
HNRNPC,1.7452678350528714,False,False,True,False,1.0181298631681486,False,False,True,False,0.7271379718847228,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.7452678350528714,1.0181298631681486
HNRNPD,1.7171583792780396,False,False,True,False,0.6169844986765689,False,False,False,False,1.1001738806014707,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,1.7171583792780396,0.6169844986765689
HNRNPDL,0.7049307893832051,False,False,False,False,1.195893219531829,False,False,False,False,-0.4909624301486239,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7049307893832051,1.195893219531829
HNRNPF,0.1240621541874169,False,False,False,False,0.1279715298786925,False,False,False,False,-0.0039093756912755,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1240621541874169,0.1279715298786925
HNRNPH1,1.2124401252000965,False,False,True,False,0.6188701619452388,False,False,False,False,0.5935699632548577,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2124401252000965,0.6188701619452388
HNRNPH2,1.2416290704068589,False,False,True,False,0.6563033041041884,False,False,False,False,0.5853257663026703,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2416290704068589,0.6563033041041884
HNRNPH3,2.353589385720724,False,False,True,False,1.423564751820965,False,False,False,False,0.9300246338997588,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.353589385720724,1.423564751820965
HNRNPK,1.7700050272969534,False,False,True,False,1.0795950574939184,False,False,True,False,0.690409969803035,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.7700050272969534,1.0795950574939184
HNRNPL,1.7392748232666584,False,False,True,False,0.9607728230907212,False,False,True,False,0.7785020001759371,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.7392748232666584,0.9607728230907212
HNRNPLL,1.5814343355402798,False,False,True,False,0.7266587354500622,False,False,False,False,0.8547756000902176,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.5814343355402798,0.7266587354500622
HNRNPM,1.6494698682203364,False,False,True,False,0.8129587320226683,False,False,True,False,0.836511136197668,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,1.6494698682203364,0.8129587320226683
HNRNPR,0.7421191525615001,False,False,False,False,0.8680727694850319,False,False,False,False,-0.1259536169235318,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7421191525615001,0.8680727694850319
HNRNPU,0.7948133281187282,False,False,True,False,0.6667633555346058,False,False,True,False,0.1280499725841224,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7948133281187282,0.6667633555346058
HNRNPUL1,1.743612084834318,False,False,True,False,0.4945075627870139,False,False,False,False,1.249104522047304,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.743612084834318,0.4945075627870139
HNRNPUL2,1.6381120590459517,False,False,True,False,1.0699171047796625,False,False,True,False,0.5681949542662892,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.6381120590459517,1.0699171047796625
HP1BP3,-0.1574436899747944,False,False,False,False,0.5352292816298672,False,False,True,False,-0.6926729716046616,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1574436899747944,0.5352292816298672
HRNR,1.1159979984350734,False,False,True,False,0.2824530303752333,False,False,False,False,0.8335449680598401,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.1159979984350734,0.2824530303752333
HSP90AA1,1.5391474821451006,False,False,True,False,1.0757256981697196,False,False,False,False,0.4634217839753809,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.5391474821451006,1.0757256981697196
HSP90AB1,2.025174716517828,False,False,True,False,1.144121214524116,False,False,False,False,0.881053501993712,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.025174716517828,1.144121214524116
HSP90B1,1.186529707518698,False,False,True,False,0.7125943500685565,False,False,False,False,0.4739353574501415,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.186529707518698,0.7125943500685565
HSPA1A,1.881801065345204,False,False,True,False,1.0608908313545378,False,False,False,False,0.8209102339906664,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.881801065345204,1.0608908313545378
HSPA5,-6.619896581897695,False,False,True,False,-7.844576635680017,False,False,True,False,1.224680053782322,False,False,True,False,False,Neither,False,False,False,False,False,True,,True,#bdbdbd,black,3,0.8,#525252,0.35,8,diag-down-left,False,-3.2140825497960495,-3.208228323338652
HSPA8,1.1479971778957283,False,False,True,False,0.3649042604448169,False,False,False,False,0.7830929174509116,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.1479971778957283,0.3649042604448169
HSPB1,1.0060463608548602,False,False,True,False,0.4409918779603217,False,False,False,False,0.5650544828945385,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0060463608548602,0.4409918779603217
HSPD1,1.2771484464561844,False,False,True,False,1.0347518014721937,False,False,False,False,0.2423966449839909,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2771484464561844,1.0347518014721937
HSPG2,-4.364299230585367,False,False,False,False,-5.029915583937452,False,False,False,False,0.6656163533520854,False,False,False,False,False,,False,False,False,False,False,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,diag-down-left,False,-3.18825199915314,-3.0172913537187744
IFI16,1.3571518505273126,False,False,True,False,0.6141852282115501,False,False,True,False,0.7429666223157625,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3571518505273126,0.6141852282115501
