Label,H3_1,H3_2,H3_3,H4_1,H4_2,H4_3,H3K4me3_1,H3K4me3_2,H3K4me3_3,H3K4me1_1,H3K4me1_2,H3K4me1_3
RPL10A,30203344.1666667,20979847.8333333,39895952.6666667,20703397.3333333,23037256.3333333,18806780.6666667,24690130.6666667,19815903.6666667,30005650.3333333,38630360.8333333,41203030.6666667,32329661.3333333
RPL11,11940766.5,8319112.125,18240890.25,11766936.125,12448147.125,11404213.5,12889486.0,8220924.6875,13226064.0625,13855980.375,15387468.5,17549488.25
RPL12,6234653.83333333,3919121.16666667,7250535.25,4822503.66666667,5819995.0,4247504.25,3737533.04166667,3150496.16666667,4879849.08333333,7000140.0,6949827.83333333,5848833.75
RPL13,44201706.8333333,29341599.4166667,56050969.9166667,38121708.625,33098291.5,33561472.25,19779423.1666667,18263131.7083333,32730036.75,54905909.7083333,50873143.25,50964491.2916667
RPL13A,54778959.3333333,30644493.3333333,75553268.8333333,70218502.6666667,57846448.0,130320701.333333,17265166.3333333,12698616.625,19427130.625,33571178.0,43665074.75,41209096.3333333
RPL14,69402230.3333333,54092081.0,78412488.0,52389466.3333333,46499700.6666667,36450292.8333333,25412262.1666667,23612441.4166667,53258828.6666667,106083595.333333,87949887.0,77667007.6666667
RPL15,192183241.333333,190581416.333333,243640656.666667,192357303.333333,191362226.333333,193111297.333333,203049465.0,113769392.166667,203945639.0,147323454.0,185160557.333333,178973829.333333
RPL17,69503006.0,42565055.578125,80148808.0,54831671.6666667,45269417.6666667,35084336.5,35088084.0,35513817.3333333,52584019.0,79702487.3333333,80896637.0,79440902.6666667
RPL18,64607295.25,31254557.5833333,62298307.9166667,40665143.5,47005161.625,46342032.1666667,17751321.5833333,14189060.5729167,40444710.4375,86042379.5,65927221.6666667,71330969.3541667
RPL18A,19794688.0,12045487.75,22353684.0,14218829.1666667,10959900.3333333,10648647.0833333,7856316.91666667,6847477.5,9948687.58333333,23856988.3333333,22292105.4166667,23206253.3333333
RPL19,55461218.1666667,30149516.0,58026113.0,47244902.6666667,38279521.0,36848895.5833333,11731592.1666667,16548065.9166667,31509608.3333333,67826399.0,62719751.6666667,51260112.5
RPL21,13841867.75,10112990.9583333,11195328.25,10901362.1666667,10458593.0833333,7882924.57291667,7004207.95833333,5039378.79166667,8524379.04166667,11551425.75,11739640.75,10462791.6666667
RPL22,16420325.3333333,11305530.8333333,17735940.3333333,13988077.3333333,15872171.1666667,14040788.3333333,11971375.5,8178617.83333333,11718243.3333333,17773794.0,15915907.6666667,15633381.6666667
RPL23,27024145.1666667,17928261.0,30223173.6666667,23052818.6666667,17410470.9375,21056041.1666667,18551353.5,12515309.9166667,19018695.25,35563497.0,31538271.8333333,27499573.1666667
RPL23A,41476487.7916667,30144097.4166667,57447151.9166667,39482642.6666667,47361601.8333333,43293233.1666667,41576731.25,28838567.0572917,48766222.9166667,63738726.9166667,70925785.5833333,57665103.8333333
RPL24,32544114.6666667,23334155.7916667,44864731.3333333,30764810.5,27611515.3333333,33897269.6666667,22902727.2291667,14371803.359375,22709852.6666667,31675597.28125,36973273.2291667,33388678.5625
RPL26,19608182.2916667,14790372.125,23502212.3333333,15704811.78125,12626401.5,15475831.7083333,9824125.58333333,10852411.5416667,16028904.84375,30661904.25,26298174.125,19082261.3333333
RPL27,32844387.1666667,31784664.8333333,25262705.6666667,16771177.3333333,56426670.1666667,15504163.5,12062858.0,9047295.25,19133213.9166667,33089847.6666667,25875046.8333333,25726407.5
RPL27A,29119562.6666667,22149654.0,36863465.0,19989421.3333333,25196259.0,20841082.6666667,17597646.5,11891001.8333333,22227200.1666667,37385718.6666667,32870114.3333333,38753794.3333333
RPL28,23784612.5,15418390.5833333,28525484.875,15731569.75,13185482.75,15650633.125,11396775.9166667,12440952.3541667,19334962.5416667,39287862.6666667,31378476.8333333,34019956.9583333
RPL29,44017527.75,17431637.375,43458109.0,24332894.1875,28841562.75,22179957.0,9022176.75,10804485.8125,27725834.625,169957295.5,116858489.0,126581505.0
RPL3,89492902.75,69395465.4166667,114579121.833333,80914110.75,98963930.9166667,79840999.9166667,32203041.75,18549718.0,41921886.6666667,91709506.75,66747284.3333333,66471364.5
RPL30,17418988.6666667,11455031.0,15263661.8333333,10675762.8333333,11196180.0833333,10571198.25,6117808.58333333,5694896.66666667,8677295.47916667,16220048.5,16893286.6666667,14299767.5
RPL31,38702961.0,24103179.75,37830253.5625,32654112.6666667,32908191.0,23844775.1666667,27116244.6666667,21000681.4166667,35868249.5,55602950.6666667,42219733.6666667,38249225.5
RPL32,15041952.0,10739599.5,16537855.1666667,10983047.5,11540651.7083333,7576432.5,7096190.64583333,5465770.41666667,9968992.66666667,16777236.3333333,17237006.75,14557304.1666667
RPL34,31679980.6666667,19601072.0,33918868.6666667,25278213.3333333,26855315.3333333,20724473.3333333,12984864.3333333,13391306.6666667,21052020.0,33633908.0,34464438.6666667,25642878.0
RPL35,40997106.0,24967381.0,51657022.3333333,40560606.3333333,36663938.3333333,19299356.6666667,19451837.8333333,22509824.0833333,38010140.5,68070388.6666667,54131480.0,49197246.6666667
RPL35A,13215563.3333333,9547589.16666667,14996508.0,10870067.6666667,8588482.33333333,8371669.0,7588117.5,7215507.5,9833520.33333333,14368213.6666667,15166889.6666667,14442513.6666667
RPL36,17466303.5833333,10732759.625,19987838.2916667,14196692.6875,14032025.5,11518239.7083333,8985466.52083333,8447794.88020833,10818282.1041667,16114694.3958333,22984053.2916667,15981512.8958333
RPL36A,8415443.04296875,3679827.84375,9238448.75,4589622.4375,3653259.3125,4397141.09375,3618543.375,3209128.609375,4342712.0,9035880.375,8939939.59375,7707898.6875
RPL36AL,8021589.8125,4499877.140625,6406224.5,6371977.5625,5264836.75,5884767.0,3248124.75,2731885.75,4198199.53125,9222773.875,8064758.0,6610138.0
RPL37A,5199471.89583333,2603480.91666667,5614361.41666667,2345368.17708333,2646121.04166667,2180685.86458333,1889182.25,1940826.79166667,2534248.61458333,5085930.33333333,3615674.41666667,5024622.58333333
RPL38,4359557.25,3417658.33333333,5590099.08333333,3282261.5,4334575.66666667,4943865.83333333,2802746.04166667,2338551.66666667,4795558.16666667,3132793.25,4440051.33333333,4315206.75
RPL4,94519671.0,49019508.0833333,92195197.5,68277073.0,53393668.3333333,68727692.3125,32850130.9479167,30484393.4583333,43939337.0,115080945.0,104447317.666667,96276797.1666667
RPL5,20568441.875,12954834.1666667,24439986.6666667,14154180.1666667,13739078.6666667,13431944.6458333,9995244.29166667,10552292.625,16286516.75,32409760.3333333,31664970.3333333,27760416.75
RPL6,78968147.6666667,43688075.0,85551376.3333333,58300405.6666667,46838845.6666667,38121305.0,20851559.25,22641939.25,48550631.5,88915411.3333333,97087451.6666667,80788250.6666667
RPL7,67713013.3333333,47388074.6666667,83835365.3333333,56325221.3333333,63244153.3333333,49955505.3333333,34813948.0,26327439.3333333,46822051.3333333,73978774.6666667,82697186.6666667,82753048.0
RPL7A,78639791.6666667,55417970.5,95560695.6927083,62170619.0,62441238.0,61651145.5,40372100.640625,29338963.5833333,50737343.3333333,78962047.1666667,78726552.1666667,71165148.6666667
RPL7L1,1885289.25,1013591.33333333,2653580.83333333,868505.833333333,886347.375,811344.208333333,1284418.70833333,680935.364583333,841413.291666667,1852644.375,1072651.125,849680.208333333
RPL8,140373468.666667,154085691.333333,162059347.666667,100397443.333333,107912556.666667,73224450.3333333,78036439.3333333,88579207.75,155322771.666667,201498546.166667,230942125.645833,157265464.0
RPL9,9239893.16666667,6517260.66666667,12724558.3333333,8422546.0,8428705.0,8223477.91666667,5612584.59375,3372133.77083333,8430148.91666667,10433068.5,11628576.3333333,10118263.6666667
PGD,50555.0104166667,215134.083333333,1105779.07291667,402869.9375,537642.21875,364892.729166667,370542.125,286950.3125,509709.15625,814145.489583333,644134.375,709068.385416667
ANP32B,396191.291666667,441452.458333333,692098.625,995458.166666667,750316.0625,1361080.66666667,402340.625,405164.505208333,402756.291666667,468603.583333333,932591.625,539369.041666667
ANP32E,474699.65625,,542183.9375,614164.8125,789747.875,516163.8125,601592.375,383681.65625,667812.4375,494342.4375,370766.6875,341184.90625
AFAP1,297364.15625,,,,,,,,265407.15625,363362.03125,1751355.375,
ACTA2,28391471.5833333,32053431.6458333,60869953.0833333,23076537.875,43474137.0,35630992.7708333,21662005.3333333,18161884.0729167,29999122.1145833,23179690.8541667,29934430.7083333,16464558.0833333
ACTB,238020819.020833,186115560.0,299897437.375,130728651.885417,249940618.020833,150591680.125,112997834.395833,119238439.916667,215442910.0,180311902.166667,174909410.348958,110925617.333333
ACTL6A,1245560.0,1371518.5,1642299.375,901902.0625,717329.625,1149002.375,702292.9375,1328107.625,2147410.59375,1552585.125,1568733.75,3066449.84375
ACTR2,,326980.28125,321011.6875,,226963.416666667,210611.6875,110299.15625,202143.083333333,156292.989583333,,,
ARPC1B,1083881.375,,465765.666666667,341064.875,717677.0625,,489938.96875,221761.458333333,265177.479166667,1300245.79166667,858120.041666667,820078.791666667
ARPC2,,,,,,,,,,,,
ARPC3,,,,,,,,,,,,
ARPC4,,284670.729166667,606759.083333333,188778.125,405416.65625,76873.9166666667,236928.296875,381004.234375,325369.395833333,399909.885416667,218777.125,851227.270833333
ACTR3,212745.645833333,231143.895833333,,88342.6354166667,378766.604166667,94643.5416666667,88867.1145833333,252154.458333333,206539.333333333,261530.416666667,147179.03125,306463.958333333
SUB1,22843918.0,15105643.3333333,26226341.3333333,18032919.0,20465891.6666667,15682444.3333333,8496036.5,6036796.83333333,11046311.3333333,14686332.8333333,14596542.0,10853385.8333333
RPS19BP1,529505.3125,483720.0,660410.625,496605.40625,385166.5625,480477.46875,645913.25,498536.140625,506156.75,510941.3125,538497.1875,452005.09375
ADNP,1054212.5,699991.3125,550821.0625,571310.90625,338538.65625,640071.25,365555.796875,447315.484375,1006882.09375,743201.1875,1307491.625,810254.75
AHCY,1480203.0625,1274088.14583333,,,204085.145833333,159800.760416667,,159974.114583333,283516.0,183961.041666667,225991.854166667,130293.3125
AK1,,,,,,,,,,,,
CAP1,1684766.9375,,362972.875,,,133896.447916667,1109365.13541667,197889.0625,356162.791666667,789179.973958333,,1122158.25
ARF4,1355315.33333333,919741.666666667,2646216.25,1671072.625,679416.8125,796237.708333333,1367574.75,1153177.22916667,1761195.5,2771783.875,1885498.16666667,1443704.625
AKAP2,,,224094.833333333,,,,,,,,,
AKAP8,2383319.75,1416305.625,9034484.0,5967545.0,1615957.25,6901096.0,7602463.5,7214612.5,3709024.75,377383.09375,2646018.75,3362755.0
ACTN1,2669261.71875,2864766.5,3413475.04166667,1572730.58333333,4877557.04166667,2502041.58333333,2059411.0,1952784.38020833,4653253.625,3306554.20833333,2052859.79166667,348470.5
ACTN4,1165714.75,1332737.29166667,2274406.9375,204569.791666667,2953985.16666667,1472702.33333333,1690498.99479167,595483.565104167,2216477.66666667,2039564.0625,1628047.98958333,1054920.58333333
ACTR1A,,,,,,,,,,,,
ENO1,4305373.29166667,3186618.83333333,6450174.66666667,3475134.15625,4188173.08333333,4569555.58333333,3693734.4375,3099070.47916667,4727367.45833333,2971365.0,4971929.54166667,8174001.58333333
INA,,,,,,,,,,,227984.546875,
PARVA,390628.208333333,221834.479166667,423608.375,333232.083333333,,58602.6510416667,600499.7421875,155473.049479167,805231.666666667,599208.916666667,406566.541666667,358885.041666667
TXLNA,,,,,,,,,183867.359375,167442.46875,,
RAI14,,,351800.333333333,586541.958333333,,,,,,,,
ANXA1,2893823.41666667,1694548.83333333,15362672.6666667,2500911.625,3393305.33333333,2160434.83333333,1302950.79166667,2019925.625,3201478.08333333,3561007.25,3122090.08333333,3276801.5
ANXA2,15134376.4583333,12020743.125,22821472.25,10726773.8333333,15591176.9166667,10013193.25,8166137.95833333,7794683.55208333,17677168.3541667,23897551.5833333,20219737.8125,31691402.0
ANXA5,14362380.8333333,8305619.64583333,15088714.1666667,13427115.375,11427461.8333333,10257589.0625,3627212.91666667,8781080.75,9446515.8125,13105360.5416667,12534042.1666667,9594577.33333333
ANXA6,401566.958333333,768623.84375,1187433.22916667,1034574.5,1191147.4375,1270647.10416667,476594.916666667,302985.169270833,685504.520833333,981625.8125,384280.885416667,378839.125
AP1B1,,,,,65160.87890625,,,,,,,
AP1G1,9665840.90625,5846776.25,12283605.875,9605817.875,6580179.625,5809365.0,3743770.703125,3951401.6015625,7937996.78125,13053955.15625,9040681.0,7519335.90625
AP2A1,697013.645833333,151509.791666667,613620.958333333,250027.552083333,578354.3125,,169766.677083333,148481.59375,964358.854166667,499193.510416667,209134.5625,
AP2A2,,,,159182.270833333,,243150.166666667,,,,,114094.552083333,
AP2B1,91201.4166666667,,275317.3125,,806342.708333333,,,,715194.020833333,863391.5,,
AP2M1,1692486.29166667,1292248.5,2205024.29166667,1096679.90625,1145856.44791667,1010781.47916667,958875.953125,624291.416666667,1400400.5,1857820.58333333,1481503.0625,1103849.4375
API5,1156611.25,975298.869791667,1630657.22916667,831150.15625,1851332.41666667,892026.802083333,705672.567708333,660811.177083333,1623182.4375,1182386.16666667,1330125.02083333,809985.75
ACIN1,801379.583333333,346404.5,725047.083333333,446777.635416667,500358.979166667,365904.333333333,555378.098958333,322572.229166667,374025.697916667,480770.625,,
ALOX12B,772112.5,781779.416666667,2457802.95833333,1109901.0,866128.0,893957.1875,561085.177083333,593661.6875,943566.645833333,554747.291666667,2046000.1875,3230237.08333333
ARG1,4305461.25,6302013.08333333,12558092.25,5684176.375,4361879.0,5593449.91666667,3085370.52083333,2369588.5,6048882.0,5012760.125,7298986.33333333,7598187.25
ARGLU1,921993.25,535376.421875,1952434.90625,2051514.25,,2036838.28125,1800649.6875,1187414.9375,1009145.1875,637526.328125,582022.6875,260325.3125
RARS1,,,136813.979166667,,65902.59375,457243.822916667,53929.8020833333,91687.6875,226043.604166667,,212298.4375,
ASPH,922570.416666667,681982.229166667,2152807.375,623878.75,1090513.25,924155.416666667,577774.916666667,640873.291666667,1166197.0,1747409.33333333,1350405.33333333,996913.0
ATXN2L,,,,260935.333333333,69969.5104166667,56556.3125,,132111.15625,134696.46875,96040.40625,168238.395833333,457753.875
ATP5F1A,,106726.5,221706.479166667,,,,,,143919.552083333,539108.958333333,179115.541666667,208262.770833333
ATP5F1B,304019.458333333,296816.604166667,118496.0625,223139.125,,,374920.770833333,352445.700520833,,,406340.0,357250.541666667
ABCF1,1006517.33333333,948325.364583333,1181784.22916667,513006.625,781887.083333333,286793.229166667,590440.15625,540084.375,1084589.79166667,1896052.91666667,828898.125,845232.875
ACLY,3679887.72916667,1444207.83333333,6512504.0,13718958.6666667,963599.802083333,,9458248.33333333,10230350.1666667,,180364.0625,2865600.33333333,2920934.66666667
RECQL,5728634.58333333,4247773.91666667,7257263.33333333,4630164.16666667,4905847.66666667,4927637.08333333,4355634.83333333,2931578.45833333,5520635.58333333,5940174.83333333,5511857.58333333,5011814.75
DHX9,10372888.6666667,5813107.41666667,9867676.16666667,6023136.66666667,6902554.33333333,5974967.33333333,6678585.16666667,4935231.08333333,8671083.0,11003328.0,9814267.0,9449006.83333333
DDX1,2114765.25,1918572.83333333,3299368.66666667,2004705.66666667,1989800.83333333,1901568.16666667,1922261.0,1765778.33333333,3440161.33333333,3718096.91666667,3407323.58333333,7398573.41666667
DDX18,1449354.08333333,2011159.33333333,1856665.875,1567793.375,1388228.41666667,1237677.66666667,2682678.0,2029155.625,2121197.45833333,2224224.60416667,2294335.66666667,2050371.16666667
DDX24,,713749.083333333,1040799.5,1405937.16666667,,1861566.5,,1115519.83333333,440670.75,,1234217.08333333,374545.25
DDX3X,6989769.33333333,3371505.08333333,7408634.02083333,4738041.25,4806359.58333333,4819478.70833333,4559461.91666667,2729818.4375,6257655.125,8481255.83333333,7446398.0,8446882.33333333
DDX42,5235121.66666667,5600941.33333333,4284702.0,3086386.66666667,5225660.92708333,2818588.5625,1240997.875,107074.239583333,149126.4375,3409637.89583333,,5469534.0
DDX50,1270420.77083333,1009857.58333333,1837140.58333333,756483.848958333,1068006.4375,773333.25,454273.158854167,593614.0546875,1194971.88541667,2246065.28125,1718140.0625,1417440.375
DDX54,2054497.04166667,1398694.45833333,2731190.33333333,1107239.9375,1223534.0,987471.208333333,847415.5,834924.375,1720045.0,2217312.04166667,2042970.33333333,1916008.20833333
ARID1A,,,,,,,,,,,,
EPB41L2,,137522.604166667,,,,,,,,,,
BANF1,2942828.25,1793933.1875,3347528.75,3783654.625,2004861.875,3236125.0,602688.6875,315314.78125,1140802.5,2228084.5,1857810.125,1898912.875
HSPG2,215845892.645833,336664.791666667,103262910.9375,766413.5,45631906.875,4775327.0,,151239.885416667,295655.958333333,248491.166666667,227813.020833333,229365.791666667
BZW1,741037.729166667,241503.145833333,301876.520833333,372759.880208333,394603.4375,335725.354166667,342308.333333333,401233.515625,612123.84375,745752.9375,604228.9375,388039.5
BCLAF1,98987.1666666667,88386.4479166667,1886955.8125,114399.197916667,522716.817708333,359567.697916667,783380.65625,619900.5,839233.4375,687375.166666667,350347.885416667,137783.583333333
SNTB2,147111.364583333,400760.333333333,257475.354166667,,,309013.0625,,,,166635.979166667,158001.791666667,171938.239583333
ACTBL2,150628492.0,118088575.0,216543732.03125,94236168.0,209456003.6875,138883146.5,97445236.5,84581965.8828125,126352362.625,102016172.1875,115561144.5,67496413.0
ENO3,,,,,,,,,,,,
PAPSS2,,,484380.041666667,,,114732.375,83167.0208333333,96950.5520833333,,321111.25,168358.479166667,
EPRS1,,,,,,,,,,,,
BLMH,2056163.625,1114626.125,3270810.40625,1701640.125,1550412.5,2588985.65625,2041698.9375,1074207.25,1486876.0,1832238.0,,10191143.875
BAZ1A,1143934.0,,1253167.125,902121.9375,236840.421875,677653.25,931687.125,570202.3125,978041.5625,1407714.375,1343548.25,1357312.625
BRD1,1462438.8125,1099706.5625,1538056.9375,1111604.71875,698659.46875,1278086.4375,1100896.0625,718407.90625,1610668.9375,2613121.5,2493418.375,1696133.3125
BRD2,1497588.41666667,2035555.0,2386279.79166667,1289412.75,1601414.83333333,1237615.75,1802372.5,2191334.25,3879411.48958333,1884931.41666667,2416000.83333333,1895336.20833333
BRD3,267243.65625,528381.859375,396479.03125,580014.21875,230816.890625,277847.0,840508.125,603340.125,1941209.875,1407849.0625,1371845.0625,441454.65625
BYSL,,159429.541666667,,116580.552083333,179019.833333333,113651.354166667,244665.302083333,,363505.625,,240731.052083333,317295.052083333
CHERP,,,,,,,,,,,,
TMCO1,1219448.5625,349852.4375,1285703.75,864940.625,791784.453125,806492.5625,264470.5,588488.5625,276189.90625,1267180.15625,1300149.5625,1334077.21875
CAMK2D,330797.625,177010.0625,776648.083333333,259133.875,272240.791666667,,202352.791666667,320233.5,373242.375,425410.416666667,130745.614583333,128116.96875
CALD1,10134954.0625,8322381.60416667,13164314.9583333,7705888.0,9968926.375,9790376.45833333,3634130.41666667,2535911.83333333,6345787.41666667,9111348.5,7993496.54166667,5436134.0625
CALM1,1678404.29166667,522456.958333333,2619636.33333333,2012857.04166667,832885.833333333,2021732.26041667,469531.333333333,530260.104166667,1097715.04166667,2161822.22916667,1034034.29166667,2338348.45833333
