Label,normalised_data__H3_1,normalised_data__H3_2,normalised_data__H3_3,normalised_data__H4_1,normalised_data__H4_2,normalised_data__H4_3,normalised_data__H3K4me3_1,normalised_data__H3K4me3_2,normalised_data__H3K4me3_3,normalised_data__H3K4me1_1,normalised_data__H3K4me1_2,normalised_data__H3K4me1_3,comment__comment,H3K4me1vsControl__logFC,H3K4me1vsControl__t,H3K4me1vsControl__P.Value,H3K4me1vsControl__adj.P.Val,H3K4me1vsControl__B,H3K4me1vsControl__significant,H3K4me3vsControl__logFC,H3K4me3vsControl__t,H3K4me3vsControl__P.Value,H3K4me3vsControl__adj.P.Val,H3K4me3vsControl__B,H3K4me3vsControl__significant,H3K4me3vsH3K4me1__logFC,H3K4me3vsH3K4me1__t,H3K4me3vsH3K4me1__P.Value,H3K4me3vsH3K4me1__adj.P.Val,H3K4me3vsH3K4me1__B,H3K4me3vsH3K4me1__significant,coefficient_estimates__ExperimentH4,coefficient_estimates__ExperimentH3,coefficient_estimates__ExperimentH3K4me1,coefficient_estimates__ExperimentH3K4me3,H3K4me1vsControl__logFC_imputed,H3K4me1vsControl__logFC_is_imputed,H3K4me1vsControl__logFC_based_on_single_datapoint,H3K4me3vsControl__logFC_imputed,H3K4me3vsControl__logFC_is_imputed,H3K4me3vsControl__logFC_based_on_single_datapoint,H3K4me3vsH3K4me1__logFC_imputed,H3K4me3vsH3K4me1__logFC_is_imputed,H3K4me3vsH3K4me1__logFC_based_on_single_datapoint
PSMD2,17.078489144099674,,16.749202457174665,15.858837275484413,16.754325119339125,16.350074211275626,18.729258648475852,18.957552401782714,17.72106958810533,17.37492841551947,,17.64305338437642,,0.89152856527949,2.3044112103457413,0.05000665335643547,0.10717538494294865,-4.782971021740305,False,1.851831211452847,5.4736736510632245,0.0005842504132584109,0.0032191052181492837,-0.2549679331068804,True,0.960302646173357,2.288454620327543,0.051269850747304196,0.2015815816170366,-4.453069648452063,False,16.32107886869973,16.913845800637173,17.508990899947943,18.4692935461213,0.89152856527949,False,False,1.851831211452847,False,False,0.960302646173357,False,False
PSMD3,,,,,,,,,,,,,Insufficient number of non-null values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMD5,,,,,,,,,17.279801804716342,16.56403819808198,,,Insufficient number of non-null values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMD7,,19.97692515274074,,,,19.8734337731834,,,,,,20.51636932623643,Insufficient number of non-null values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMC1,,17.412760662827836,,17.637944927609972,18.284566496904272,16.385890106325142,18.264181382694108,17.293807442799483,18.64140870230765,,,,logFC(H3K4me1vsControl) estimation failed and was imputed; logFC(H3K4me3vsH3K4me1) estimation failed and was imputed,,,,,,False,0.64201858937993,1.0846913967876628,0.3195084265003557,0.3847794336282855,-6.45182314915129,False,,,,,,False,17.43613384361313,17.41276066282784,,18.066465842600415,-inf,True,False,0.64201858937993,False,False,inf,True,False
PSMC3,,,,,,,,,,,,,Insufficient number of non-null values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMC2,,,16.973800828842975,,,,,17.563328796308486,21.292351787528208,20.51866586532858,19.981978171139176,18.56165992946331,logFC(H3K4me1vsControl) estimation failed and was imputed based on a single datapoint only; logFC(H3K4me3vsControl) estimation failed and was imputed based on a single datapoint only,,,,,,False,,,,,,False,-0.25959436339200437,-0.20873020412248253,0.8428482025996616,0.9214721020958988,-6.648643122668396,False,,16.973800828842975,19.68743465531036,19.427840291918354,2.7136338264673796,True,True,2.4540394630753717,True,True,-0.25959436339200437,False,False
PSMC5,16.372934911670267,,,,17.141013819773814,17.179493229433213,17.00540707352104,16.805339158480873,17.37520501243443,17.603014043606862,16.9379915058879,17.19831248856001,,0.47984512788137934,1.7519944987209939,0.12176261302009157,0.20407413942167346,-5.609511765860531,False,0.2953895300085705,1.0785163826498825,0.31537696429012885,0.38089223624151664,-6.434574046559754,False,-0.18445559787280885,-0.6942053522757959,0.5091826359207703,0.7310644556174468,-6.522211666317917,False,17.160253524603508,16.372934911670256,17.24643934601826,17.06198374814545,0.47984512788137934,False,False,0.2953895300085705,False,False,-0.18445559787280885,False,False
PDAP1,16.346264138567097,15.491112620564158,16.25162731281888,18.407461512920385,18.479901874936047,15.485831716064821,17.044439129891863,19.98328989299468,19.252017833264514,18.600071578062035,19.33899608489707,18.967251778289558,,2.2250732844376557,2.930105987453117,0.014992549251320006,0.04535652083973345,-3.839912949407313,True,2.016215756071791,2.6550702397904753,0.024044820235524792,0.04575571886805282,-4.301339914707192,True,-0.2088575283658649,-0.23818794442469404,0.8165307658044403,0.903942749549248,-6.7535274481864125,False,17.45773170130709,16.029668023983376,18.96877314708289,18.759915618717024,2.2250732844376557,False,False,2.016215756071791,False,False,-0.2088575283658649,False,False
RPS10,22.704525597274852,22.292547774058313,22.06368809609256,22.34283099139448,22.41535559167854,22.30195082981877,23.722804862082437,23.2257789623846,23.2237029155215,23.4747038651213,23.31537347252833,23.205243730092423,,0.9782905425277697,4.968225206603399,0.0005230923764829448,0.0060048138560644905,-0.39886934481503467,True,1.037279099943266,5.267797189682772,0.0003354289014465289,0.0021266569092263134,0.0738396980703131,True,0.058988557415496246,0.2594369476088195,0.8004348918307119,0.8974263646928518,-6.747889953128279,False,22.3533791376306,22.353587155808572,23.331773689247356,23.390762246662852,0.9782905425277697,False,False,1.037279099943266,False,False,0.058988557415496246,False,False
