Label,H3K9me3_45bp__1,H3K9me3_50bp__1,H3K9me3_55bp__1,H3K27me3_35bp__1,H3K27me3_40bp__1,H3K27me3_45bp__1,H3K27me3_50bp__1,H3K27me3_55bp__1,H3unmod_35bp_1,H3unmod_40bp_1,H3unmod_45bp_1,H3unmod_50bp__1,H3unmod_55bp_1,H3K9me3_35bp_1,H3K9me3_40bp_1,H3K9me3_45bp__2,H3K9me3_50bp__2,H3K9me3_55bp__2,H3K27me3_35bp__2,H3K27me3_40bp__2,H3K27me3_45bp__2,H3K27me3_50bp__2,H3K27me3_55bp__2,H3unmod_35bp_2,H3unmod_40bp_2,H3unmod_45bp_2,H3unmod_50bp__2,H3unmod_55bp_2,H3K9me3_35bp_2,H3K9me3_40bp_2,H3K9me3_45bp__3,H3K9me3_50bp__3,H3K9me3_55bp__3,H3K27me3_35bp__3,H3K27me3_40bp__3,H3K27me3_45bp__3,H3K27me3_50bp__3,H3K27me3_55bp__3,H3unmod_35bp_3,H3unmod_40bp_3,H3unmod_45bp_3,H3unmod_50bp__3,H3unmod_55bp_3,H3K9me3_35bp_3,H3K9me3_40bp_3
APP,26982268.3333333,24503409.6666667,15214070.5,19100212.1666667,29317374.5,28774737.3333333,28894406.6666667,17598106.1666667,33158895.1666667,33654860.3333333,28127917.1666667,27165638.6666667,37432598.6666667,17181047.8333333,26676121.0,25210580.8333333,45043305.3333333,18506161.3333333,1056057.75,22573879.5,17435983.1666667,37932101.5,23562115.6666667,23826252.0,9427487.0,23953514.3333333,42491781.6666667,22107595.5,28592540.1666667,11206688.0,27684570.0,30055715.6666667,23568225.0,25707056.0,8388539.5,32348304.3333333,31364734.3333333,26791010.0,14178731.3333333,26284724.3333333,17110641.5,25589678.8333333,23149291.5,19616670.5,33367078.0
PHC3,16871993.4166667,7740578.66666667,5054688.08333333,28499269.0,40581792.0,39808386.6666667,47426650.6666667,37573353.6666667,8518542.75,12761913.0833333,10322077.5833333,9270491.33333333,11057800.0,7030803.16666667,8490601.16666667,11519634.5,23900541.6666667,6055554.75,1421133.54166667,37264977.3333333,27746721.1666667,65608666.6666667,37707842.0,8615906.83333333,5311049.04166667,8936805.25,12617859.8333333,7479500.66666667,12968745.0,4339056.08333333,13428402.1666667,12196876.5833333,9307133.83333333,25224996.0,38866709.3333333,52078995.5,38493984.6666667,35552154.5,5775995.58333333,5617813.70833333,6348954.25,6324872.0,6606720.25,6503992.41666667,9639651.83333333
PRRC2A,10187416.5,6673632.91666667,3112514.83333333,5060539.0,7026242.5,7776704.83333333,7617607.66666667,6082493.25,8881863.33333333,5572776.16666667,5378148.75,8347858.0,7487673.5,6894311.16666667,6195715.66666667,6134509.75,10242239.5,5526696.08333333,1011084.625,6352509.66666667,5325747.58333333,8321190.16666667,5253870.83333333,5074708.83333333,2865254.91666667,4530866.83333333,9925227.66666667,3853570.83333333,5095895.75,2365767.58333333,5881784.5,5258107.83333333,5057969.58333333,3516804.16666667,6019384.25,7197027.33333333,6042040.33333333,4656354.41666667,5169833.5,5623740.91666667,3807364.66666667,3374177.66666667,5488134.0,5790894.58333333,6888171.66666667
HADHB,31567546.0,16206511.3333333,14392675.3333333,13549414.6666667,18270521.3333333,24385261.3333333,21071604.0,16669883.6666667,27790826.6666667,24721400.6666667,20414696.0,20826348.0,25250819.3333333,18395688.0,15775228.6666667,15487124.0,24958286.0,10802556.0,635641.5625,13300382.0,9822305.33333333,19667281.3333333,10927003.0,13656961.3333333,8380620.0,12438674.0,26723986.6666667,13219648.3333333,13993393.3333333,6030563.16666667,15547712.0,14320151.6666667,15614370.6666667,11302965.3333333,16358691.3333333,18686669.0,15385305.6666667,11507605.0,14976681.3333333,15320721.6666667,13521718.3333333,13447408.3333333,13585268.0,13439485.3333333,18448718.6666667
CREB3L2,99131370.6666667,76267123.1666667,60662152.6666667,40560911.3333333,46222294.6666667,72381738.6666667,70275671.4166667,61830312.0,72804362.6666667,78461033.3333333,88525111.1666667,82582317.1666667,78733734.6666667,55495154.6666667,77271604.0,69373573.3333333,112884362.666667,75531533.25,527213.520833333,65875192.0,75788954.8333333,103412391.0,69011740.0,72898382.4166667,58347958.6666667,59386041.8333333,98388653.3333333,69167627.3333333,53608362.6666667,18698120.3333333,58924869.4166667,64683877.5,50497731.5,34671746.0,58840039.0,72546233.3333333,58875783.3333333,49181756.0,50449624.0,71795052.1666667,48034723.9166667,53581584.6666667,48528010.6666667,41610695.5833333,60318986.8333333
BMS1,16354802.6666667,11223119.3333333,9438571.0,9117778.5,12148083.0,11581704.0,12601115.3333333,11612383.6666667,12656743.6666667,12852778.6666667,11394473.6666667,14991454.6666667,13143761.6666667,10308402.1666667,11475642.6666667,8777239.83333333,14469673.6666667,7250958.66666667,1534822.66666667,8406462.83333333,7614413.66666667,12705806.3333333,7297807.66666667,9663178.66666667,6533813.16666667,8286318.66666667,13302831.6666667,8306434.0,10084021.1666667,4258734.66666667,8482402.66666667,8832255.66666667,9023626.83333333,8246428.33333333,9668968.66666667,11297288.3333333,8518393.83333333,7252796.5,7745618.83333333,8224847.5,7233990.33333333,5936643.25,7053367.91666667,8854026.16666667,10849451.3333333
PLCD3,30606071.8333333,14506828.3333333,16618312.1666667,15419272.3333333,23177982.0833333,23779996.6666667,24284941.1666667,20659895.1666667,24616600.0,20393055.3333333,16595049.5833333,18232006.3333333,21058183.9166667,18588587.8333333,21373190.5833333,17285442.8333333,8956786.66666667,9998751.64583333,16507610.6666667,18950244.9791667,12515678.4166667,17237305.5,12615792.3333333,19342243.1666667,11647451.6666667,13902791.0,31849366.6666667,15571370.3333333,20810022.0,4525554.79166667,23041652.125,18792278.8333333,10823916.0,22285512.0833333,22433248.3333333,21759986.3333333,23299927.6666667,15269122.1666667,18049824.3333333,24156564.6666667,12783504.8333333,11080849.5833333,13056472.0,18468235.3333333,21143354.3333333
P4HB,24217437.3333333,16479568.3333333,13559229.6666667,13782966.6666667,13404422.0,20965090.6666667,15604119.0,18016413.6666667,26005954.0,15854852.3333333,21493470.6666667,15655390.3333333,24558822.3333333,12055355.6666667,16535717.0,14103310.6666667,24641710.6666667,11596756.5,1928195.79166667,13212776.3333333,13522690.0,32717969.3333333,11856481.6666667,12255535.1666667,9971258.0,13943906.0,25001996.0,12605041.6666667,15187802.6666667,5672063.83333333,15616116.5,13963776.0,14216646.75,9970984.0,14633735.0,18584319.3333333,13164835.3333333,12667664.6666667,14853126.0,11560309.6666667,9008670.0,9792169.5,11162206.3333333,11431239.6666667,17754446.0
SDCBP,59377383.3333333,29043381.0,21172403.0,15748041.0,22085225.3333333,38183695.3333333,29831067.0,27362649.0,45373858.3333333,34997369.6666667,39730406.6666667,32985079.3333333,45880561.6666667,27076863.8333333,26922253.6666667,31846387.3333333,57536649.3333333,22093030.6666667,875036.614583333,24079533.0,19448764.5,43392500.6666667,22864149.0,23099042.0,15794722.6666667,26640835.0,52441862.6666667,24618027.6666667,22841220.8333333,9389314.0,28807468.3333333,25013268.6666667,24000357.6666667,15303589.3333333,24822419.3333333,33938297.3333333,21959780.3333333,21902004.3333333,28426239.3333333,23954408.3333333,24756977.1666667,22682966.0,19504293.6666667,19217385.8333333,28700554.3333333
CTDSPL2,34796645.3333333,29614222.6666667,21764201.6666667,12736874.7083333,17172891.5,23808837.8333333,27169741.0,26348062.3333333,18184984.0,24389798.6666667,26611094.6666667,25605356.0,22117219.3333333,17013039.1666667,23730641.6666667,19804587.6666667,40862022.0,20058418.3333333,1107847.79166667,16421636.9166667,19461514.3333333,30498524.6666667,22394685.0,16140363.8333333,14288903.1666667,16420157.6666667,36848294.0,17880300.3333333,11950102.0,6578806.25,19508824.8333333,20835523.3333333,14906217.1666667,4976215.125,13668417.1666667,23627201.3333333,19025723.8333333,17886883.1666667,17601272.1666667,21225443.3333333,17556155.8333333,16895820.5833333,15105353.6666667,13467387.6666667,20418988.6666667
