Label,H3K9me3_45bp__1,H3K9me3_50bp__1,H3K9me3_55bp__1,H3K27me3_35bp__1,H3K27me3_40bp__1,H3K27me3_45bp__1,H3K27me3_50bp__1,H3K27me3_55bp__1,H3unmod_35bp_1,H3unmod_40bp_1,H3unmod_45bp_1,H3unmod_50bp__1,H3unmod_55bp_1,H3K9me3_35bp_1,H3K9me3_40bp_1,H3K9me3_45bp__2,H3K9me3_50bp__2,H3K9me3_55bp__2,H3K27me3_35bp__2,H3K27me3_40bp__2,H3K27me3_45bp__2,H3K27me3_50bp__2,H3K27me3_55bp__2,H3unmod_35bp_2,H3unmod_40bp_2,H3unmod_45bp_2,H3unmod_50bp__2,H3unmod_55bp_2,H3K9me3_35bp_2,H3K9me3_40bp_2,H3K9me3_45bp__3,H3K9me3_50bp__3,H3K9me3_55bp__3,H3K27me3_35bp__3,H3K27me3_40bp__3,H3K27me3_45bp__3,H3K27me3_50bp__3,H3K27me3_55bp__3,H3unmod_35bp_3,H3unmod_40bp_3,H3unmod_45bp_3,H3unmod_50bp__3,H3unmod_55bp_3,H3K9me3_35bp_3,H3K9me3_40bp_3
MYH9,6819963609.45573,3963794147.70833,2897326988.36979,2612789482.12109,3547798723.24479,5158552684.78385,4680399747.95833,3737984123.44792,5536169994.88802,4129462020.69531,3946366636.62109,5153228809.5,5842252071.80729,3670591223.25,4075236534.89583,3515052884.97917,8365167930.5599,2507403506.09375,470267705.463542,4452103686.50521,2561618762.16667,6552562427.63021,2243576521.96224,3355472424.04167,2166182876.25521,3121982184.57552,6759068728.91667,3094617866.14583,3456359104.16667,1308864383.38542,3231897590.72135,2928042087.58333,3241749606.32682,3071326777.01563,3439634545.51302,4917671233.30729,3194571065.83333,2376342216.16667,3601253103.17057,3044944400.02083,2370097819.21615,2235994951.66667,2117591630.97917,2953361504.51302,3526134636.61458
CONT_P22629,167860832422.146,99681952458.7292,80499412119.3958,84287456108.4036,116885938236.229,135194215196.005,120474535465.854,108332586414.125,165219434164.229,171815625414.844,163074419409.654,106194457725.531,153102971319.036,116634471888.979,100047380578.313,143483047955.172,163235182810.684,107068350540.976,24402970493.2676,85049075666.3034,96005639832.0313,134076769467.234,84648149724.4036,134534335337.625,98845408917.3125,152588429867.292,219844214029.271,166609005831.279,150268293549.5,85089870439.7135,150217443215.81,183589757100.508,151990171597.518,114232366142.003,173190726849.85,154311794211.174,163570925170.003,149096071380.081,125069807359.729,131570474731.958,147674325758.096,150122317577.286,143406454111.99,110287437333.904,173428344832.154
SPTAN1 (1),411537144.916667,304932918.958333,301096827.041667,239264234.666667,325926471.083333,297919927.25,354183158.541667,317595663.833333,377629252.8125,436802845.333333,342413741.333333,411291551.75,324311315.708333,311842625.25,353476139.625,297430736.5,506810204.25,227962751.333333,12033145.1979167,290610106.0,237965832.854167,411744060.0,199854169.333333,327540700.083333,218704752.583333,274504848.083333,427356584.0,263940959.0,290668780.916667,147787768.083333,313938953.666667,264508361.291667,277560448.666667,259220363.333333,296648361.333333,315457966.125,274318505.145833,213617215.104167,243176106.041667,297563289.8125,208509733.5,221492615.166667,216614292.916667,275257493.0,290491586.25
SPTAN1 (2),96864306.0,69740935.0,105699542.75,21271338.0,30497786.0,36688128.0,27166155.0,97953203.75,37727289.75,28148809.5,50816666.375,14045454.0,60734085.5,19972053.0,17437443.0,45265943.0,148376842.0,53322054.0,376599.46875,23328857.0,81338840.125,72852763.25,48447750.0,12426885.0,104420825.0,35759742.0,62907761.0,41072697.5625,38629981.0,20350117.65625,36400490.0,13622582.0,10910553.0,16000198.9375,25863044.0,63293834.0,13682551.0,30014792.0,21262393.0,12736558.0,39965278.75,36437548.0,27816901.0,21269476.0,27142641.0
SPTBN1,842317029.333333,427336900.75,377959019.625,311699390.666667,430368374.666667,563913973.333333,523953578.666667,435457029.333333,686263432.0,574496585.333333,512987800.0,587673482.666667,626546105.333333,418852668.0,482908130.666667,411360433.333333,868931108.0,295448505.333333,39081537.5833333,461345580.0,316992369.333333,644030822.666667,266537774.666667,417003516.0,242187942.666667,378908466.666667,687470808.0,376634326.666667,403432458.666667,134134394.666667,391751142.666667,335538642.0,349364743.666667,346296178.666667,427267156.0,572594169.333333,360493353.333333,289056401.333333,409911349.333333,376759590.666667,309650373.333333,313065308.666667,289716006.833333,352307954.666667,448546890.666667
PRKDC,976381839.333333,527478094.0,402743166.666667,550160398.666667,646249559.333333,787388477.0,655160383.333333,499774134.333333,829527562.0,712689568.0,742100747.333333,695803675.333333,897309692.666667,796954610.666667,684131572.0,638545810.0,1160736125.33333,534960174.666667,624922054.666667,753250998.0,530735774.666667,1023829572.66667,676347123.333333,550188400.0,333883042.0,566301072.0,1024392523.33333,574035252.666667,658122941.333333,306790351.5,694463648.0,667749424.0,659228559.666667,490344736.666667,704869637.0,930718862.0,680618888.666667,698558089.333333,770767306.666667,629737782.333333,653700974.333333,583876410.333333,635660696.0,530219573.666667,843196180.0
ACTC1,16703701654.25,12764360792.0833,10638219639.6667,7260736551.57552,9915539972.48958,11642529280.7292,12568265665.0208,13323848070.2604,11213514512.875,9843709917.9375,12193762477.1628,14088266137.5208,11447817891.625,8052577497.65625,11799996689.2083,9974455150.03906,22089148319.7917,8055579025.25521,73586959.765625,12419961973.972,7535752259.03125,16883737067.3698,6351081043.33854,10060503646.6406,7969891709.08854,7469091444.08333,18838093985.3125,9867944378.82552,7400578905.16667,1714840175.21875,7709908598.84896,7354213148.88151,7755833327.05469,6330443299.20052,8245699915.86198,11018639720.7214,7389860048.95313,4787088129.23698,7614938966.64323,9156909862.4401,5520057331.78646,4847356531.03125,4701086222.41667,7342585510.76563,6421449619.0625
XRCC6,5279816747.5,3025774885.16667,2029961202.39583,1975519751.66667,2448653628.83333,3550466085.29167,3305437760.40104,2565071168.08333,3553818935.41667,3042661453.83333,3275267419.02083,3165749624.08333,3864468464.29167,2464239711.3125,2742548528.25,3049256110.625,6242746526.66667,2284175958.97917,342885884.6875,3192353170.82031,2540451726.25,4960662313.0,2908341108.96354,2339432059.85417,1484744384.04167,2569459097.70833,4913128192.25,2200041930.48958,2331194282.64583,1201608715.03125,3095872282.41667,2705719392.0,2353596131.33333,1511496685.65365,2370505815.54167,3688528663.79167,2607741653.33333,2517078125.41667,2919355557.33333,2491137143.08333,2593105712.89583,2126009950.29167,1920412311.625,2007457108.625,3149606614.5
XRCC5,5412445973.04167,3559115662.89583,2352656535.95313,2284349120.33333,2709783997.54688,3939021068.07292,3594052176.25,2901301875.33333,3895585276.47917,3316405969.375,3580081904.79167,3534094282.75,4109824803.625,2543332438.75,3077650279.20833,3546383545.08333,6376531422.66667,2586294567.25,349562938.863281,3340864803.0,3032389619.4375,5515066810.66667,3230760738.2474,2799104410.4375,1920953410.83333,3035544318.16667,5476389563.41667,2579827954.42708,2956227697.08333,1405021330.5,3426615339.0,3159195476.91667,2653799045.375,1748612397.33333,2790551239.52083,4225086368.16667,2812566376.54167,2729855720.66667,3092655262.39583,2894502760.25,2758768843.76563,2430994440.54167,2098970789.83333,2407155163.58333,3640521940.375
ALPI,7739108899.30729,4754748457.47917,3962259980.10417,3568702597.55469,5439867004.22396,6022985833.56771,5745604222.78646,4826298918.04167,7152084362.42708,6467541669.38151,5622146041.36719,6641328373.29167,6849953159.71875,5258758322.54688,5386067808.65625,4464326506.0,8596833631.59375,3080133393.48958,548244584.03125,4681390740.51563,3132511140.34896,6818687676.04688,2919736108.82943,4634370391.41927,2360765092.61979,4031862797.63542,7724339008.6901,3996348175.28646,4468645447.86979,1829889099.78125,4672997120.93229,3925499604.30208,4416126486.02865,4097065048.6276,4462486146.28125,5607042061.16146,4389980872.29427,3560245369.13672,4233251727.68359,4159703459.25,3453641675.54688,3592195020.5625,3363645035.80208,4127597691.16667,4718710098.79167
LMO7,1287463909.33333,719191967.333333,623309011.5,513777490.0,793937497.333333,883683932.666667,880708880.666667,725208682.666667,1083526516.66667,1048673853.66667,909343936.0,965997780.666667,1086124588.0,798213877.0,767309039.75,781687239.916667,1329646053.29167,532389713.583333,64851142.625,704723031.333333,512545468.083333,1030141684.66667,489799486.0,742924516.666667,439981675.583333,725922416.0,1293981952.66667,684797260.791667,751679535.916667,334703480.583333,767025509.0,675358919.5,737289992.0,642549455.0,809343308.291667,903937856.583333,712969616.5,567345407.583333,667632698.666667,693819626.0,564948266.5,585095673.125,561988969.833333,653148965.125,825468179.333333
PARP1,4711007420.58333,3207825566.83333,2282114416.89583,1425039526.83333,1786982507.83333,3411131593.33333,2793994068.66667,2339543899.66667,2850944377.08333,2667353627.75,3028930239.5,3261317493.83333,5241846482.83333,1929795445.41667,2404112384.21354,2804454650.25,5397075729.49219,2423119367.91667,459198569.71875,1788675352.52083,2160715567.36979,3952600605.66667,2489272441.5,1677387136.375,1129424514.33333,2485392046.45833,5147877797.33333,2280724884.0,1805714382.625,1010395450.875,2658211426.375,2647559021.5,1749593937.41667,932704621.541667,1526222336.5,3297108289.0,2136713974.0,1871476354.25,2437955187.83333,4227847659.04167,3128369670.09375,1963995563.66667,1749185830.04167,1342644395.35417,2487660990.5
ACTBL2,275478717.796875,79364351.453125,97373483.375,136202401.765625,229998666.0,136159573.53125,85964957.90625,146187386.671875,141352964.96875,242137910.5625,183881355.347656,144347249.8125,305280883.015625,223885359.789063,419386004.375,272049553.5,175118332.5,259875269.19043,9175375.140625,195747980.351563,232350624.171875,361119464.476563,49715219.8125,586663744.0,661358937.9375,362742217.5625,90919785.96875,407322110.242188,311940901.71875,76143378.15625,173788309.515625,82017402.5039063,293280178.53125,215373198.21875,647623648.109375,175492362.078125,74942056.5390625,82148102.7265625,104260524.234375,228773488.75,109748649.5625,49209526.1875,374018755.710938,330908069.09375,296572171.9375
MYO18A,516763621.083333,296146274.5,239025273.166667,207526769.583333,309509095.333333,361223783.666667,355963885.583333,299285889.166667,450097492.5,348427937.291667,343554361.833333,412406252.166667,460807075.333333,295699708.604167,306765482.166667,260141655.0,546457839.666667,170557150.166667,32190502.1744792,282681397.458333,182088779.5,474373843.0,178282035.916667,271575840.25,177592440.333333,234411294.416667,467092524.166667,230932173.75,240464867.125,93307588.0208333,231020955.333333,217439310.833333,259174364.25,240794258.333333,262176642.666667,318043557.75,262478542.583333,182336681.541667,265248567.0,256135753.75,203970759.666667,181787887.75,180226519.833333,247004422.041667,271192514.083333
MKI67,924813236.0,582999940.666667,502625913.333333,381719425.333333,519139354.666667,563184650.666667,697064146.333333,538613684.0,731100448.666667,742474140.0,654123983.666667,786247135.666667,806197707.333333,504713777.166667,659834874.666667,545539093.333333,1171629544.0,432044012.666667,104687271.729167,510334456.666667,418851507.5,904519817.666667,401778114.333333,583833455.0,361950983.166667,539730804.166667,911837556.0,493360630.0,578250556.0,238058552.0,533410229.0,534549451.0,455443485.333333,412608305.75,617857958.0,613613010.333333,583601020.666667,401154581.333333,454854673.333333,568855631.333333,372536479.333333,435497082.666667,341940082.833333,437630822.666667,672912848.0
DHX9,1537621437.33333,922684196.291667,751827277.333333,618012464.0,932158944.916667,1089342103.66667,1118557034.16667,928148010.083333,1063277088.08333,1003831919.33333,986061434.666667,1189321970.66667,1238877261.33333,849599783.166667,984686064.333333,830415550.666667,1709308768.0,655708334.666667,80096770.4166667,939855606.166667,659303562.666667,1352224332.0,651293462.0,823795573.625,533669391.333333,743157104.666667,1448693480.0,713591012.666667,812462311.666667,329504856.5,826055475.125,688478436.0,773268310.833333,677449933.041667,846983532.0,1047899178.75,782618134.666667,664422565.458333,712045119.666667,785065224.0,562341536.0,574792070.0,536061566.5,775103512.666667,883467464.0
ACTN4,997517792.0,497817873.333333,400959436.666667,342970784.0,504615370.666667,693564377.0,611270581.333333,504964004.666667,722765784.0,575645576.0,559815930.333333,662768129.333333,819068460.083333,431878060.208333,537311806.666667,465918869.333333,1101766004.0,340035849.833333,31110149.0416667,614833396.333333,366828998.0,876454065.333333,303802094.666667,457614078.833333,286323078.541667,425382877.0,955546540.0,419981608.0,438953235.25,191146295.0,444505534.541667,405123149.333333,458069213.333333,378712529.0,474313614.583333,643653210.333333,426659272.0,322448882.666667,523761997.333333,434326156.0,346751994.0,316438068.666667,330861473.0,427740125.333333,497095400.0
ACACA,876371626.333333,784652587.166667,727638627.5,745321826.666667,731255405.333333,689697121.5,718044864.0,768899317.75,686832837.333333,880210000.416667,850442567.333333,778724693.0,723693384.5,747273162.666667,719730569.0,1149364677.33333,1226401694.0,1006383965.66667,2037269830.83333,1161452528.0,1102950490.33333,1284047595.83333,966327460.416667,1242268918.83333,1136292877.0,916700141.666667,1316809524.0,1203510064.0,974064476.5,430456718.666667,556638466.083333,1115392941.91667,430934147.666667,599218343.416667,576044449.0,519365596.333333,496389298.083333,392759412.166667,634212321.0,716433247.666667,592946464.666667,399250327.666667,432263298.666667,520402821.333333,598810599.333333
KRT1,1445357622.08333,1253079893.33333,1363682395.875,986447127.958333,1314954358.16667,1472055893.33333,1119220843.04167,1242294455.125,1932103680.0,1730874709.33333,1181711919.35417,1592276309.33333,5339317077.33333,1920282796.33333,1465939061.83333,1078751445.33333,1073319061.33333,1986650837.33333,851748160.0,976725077.333333,599846730.8125,1221788436.70833,1125060309.33333,880107429.145833,554138250.666667,894521472.0,1553664521.5,1288621591.375,1066481991.29167,677860117.333333,921846826.666667,766981866.666667,707673941.333333,830882261.333333,869702698.666667,1199406374.5,1093956650.66667,655158464.0,1554540800.0,6993671490.29167,2468458752.0,472746752.0,642629344.0,564392906.666667,1066165034.66667
RFC1,8891575189.33333,10070624069.3333,9773261237.33333,7742420362.66667,8464410114.66667,8208933589.33333,7618566240.0,9092299306.66667,7500470533.33333,11119940736.0,8950546944.0,9708022373.33333,6843843989.33333,8831951965.33333,9273879445.33333,9861524285.33333,11818389994.6667,9477329861.33333,1272993821.33333,7279681480.0,9538346312.0,11568104890.6667,11979418821.3333,9049526240.0,6413790694.66667,8942915336.0,12489274304.0,8829547230.66667,7713772089.33333,5313683961.33333,10451194290.6667,9912234597.33333,8560814250.66667,5108995778.66667,7419216080.0,8066886128.0,9521137224.0,8987907376.0,7207411013.33333,10594477872.0,9765335117.33333,9212258488.0,8752419724.0,7856145312.0,10421179984.0
KRT9,3803499573.0,2626595494.75,2380260524.85417,2423705525.70833,2773954178.5,3148010192.0,2699132424.66667,2736192836.70833,4103811990.33333,3885824445.16667,3193220354.375,3257886660.83333,5420134762.0,3495761304.25,3058730493.83333,3345625959.375,4289539098.16667,2968809283.91667,1527252695.29167,2998881219.33333,2581292888.70833,3502579386.91667,2818410211.95833,3364646516.0,2025707600.52083,3469613747.0,5177958604.33333,3776364862.33333,3277982731.29167,1607552307.0,2894309115.04167,2986000784.33333,2853120956.83333,2608198445.79167,3137687103.08333,3643738888.875,3796016283.5,3183563100.75,3778271117.08333,7069091461.66667,3091504127.04167,2843761688.625,2941911627.0,2377496528.95833,3312996880.91667
PC,1556238236.94792,895862586.666667,674314456.0,813177239.666667,958102776.0,1186391168.16667,1057650576.0,819192192.0,1327325932.60938,1124299123.25,1098108078.13542,1038833573.33333,1376587513.25,999086278.625,991949028.708333,927624708.0,1765868090.66667,768741771.559896,146128264.5,1031987333.89844,717021923.46875,1506015803.0,847776774.166667,871680041.0,536828010.333333,815278203.666667,1461571922.66667,806303651.083333,935806631.333333,383984202.0,886134629.333333,894168830.0,787461300.583333,782887503.5,960570776.682292,1178637472.66667,929846829.333333,786139210.666667,979816099.714844,970961114.666667,752105417.333333,727253084.0,724454265.333333,767923552.0,1086478709.33333
SVIL,512090508.0,339164537.333333,316313813.333333,250793618.666667,366290870.666667,375003449.0,396299812.0,355022248.0,430289624.0,441169269.333333,402292066.666667,449150045.333333,433996929.333333,335835830.666667,372324105.333333,311172811.666667,550716389.333333,229817652.0,46798398.0,296710122.666667,236396840.0,421085632.0,208345253.833333,318830605.333333,213311051.333333,292584938.666667,458559812.0,288772768.0,304614038.0,124496448.0,315377419.666667,262043732.333333,270484893.833333,269783127.333333,327341218.666667,348674052.0,294460964.333333,233507402.666667,251344391.333333,292331988.0,223377565.333333,233076889.333333,224188092.0,267107000.0,338566704.0
NPM1,18686575158.0,9672186969.33333,7912236315.0,7572023620.66667,11701814850.6667,13859309030.6667,12694652111.3333,11025580898.6667,14795541448.6667,13814498514.0,12681844903.3333,13551319986.0,14851962642.3333,9944622334.0,11431416123.3333,10849407562.6667,17879230320.6667,7467304112.33333,241558119.458333,10817318138.3333,7538992296.66667,14358898427.3333,7466920740.0,10360414938.8333,6240208705.0,9432788815.0,16423943302.0,9501018366.0,11041816798.6667,4372152821.66667,10802880898.0,9361578237.33333,9973968446.33333,9585921295.33333,11315310335.3333,13230116507.0,9956407412.66667,9131555250.0,10135272952.0,8823428963.0,7881572897.33333,8343550677.33333,7943351767.66667,9199700633.0,11392301184.0
P02769,3423425173.33333,2158762272.0,1971968842.66667,2006612000.0,1929749098.66667,2778145450.66667,2156671232.0,2018883466.66667,2961050901.33333,2726288490.66667,2548660224.0,2572684192.0,2806000405.33333,2593863370.66667,2704073984.0,2453492842.66667,4203523690.66667,2071416448.0,813228997.333333,2709676362.66667,2186096576.0,3545069696.0,2361182112.0,2348534741.33333,1622287157.33333,2150281173.33333,3525404138.66667,2243563189.33333,2299472768.0,1122179802.66667,2298628224.0,2250093344.0,1934280762.66667,1731364277.33333,2163246037.33333,2762777162.66667,2252143861.33333,1965942997.33333,2721848106.66667,2331976704.0,2114185717.33333,1876491882.66667,2010551989.33333,1862582144.0,2574124789.33333
SUPT16H,880302279.166667,813020385.333333,284949325.0,635725495.166667,831970707.5,882870407.833333,1071046678.5,535046639.166667,726570001.666667,709643200.166667,651836704.0,854966602.5,644839948.666667,441932642.833333,678685547.083333,732400165.833333,1608644279.33333,437250693.5,133110277.25,1254186501.33333,806013586.833333,2026012171.0,944769863.5,663567472.166667,424116443.916667,668949627.666667,1423402617.33333,532383923.416667,663167544.0,420217016.916667,704751778.166667,834634431.583333,455172966.583333,621560463.5,982864836.5,1031849739.66667,1203981015.5,823101235.333333,751613626.333333,771797622.5,703014485.583333,677683245.75,534523047.166667,620967696.0,945623394.166667
HIST1H4A,43494578277.4688,34736461368.2969,24947430838.4219,19187658671.4688,24821294921.1927,33654487465.8958,35614799937.9375,28728409044.4792,32840089617.9792,30108538879.2995,32681059493.75,34045607464.75,37460482772.4688,24670380741.4479,27555205312.2578,26405458876.4896,50981968861.7292,23187709035.9896,3340294867.09505,25406878668.4896,23203155817.9792,42311022836.4531,29313898242.0521,21945348533.5625,14469072425.375,23933834046.7188,46181435475.8854,21639765306.0156,20262904208.6771,10711337822.8229,27374865022.7161,26868136097.8802,23628509468.1042,13194220559.1563,21327331668.0625,34773748195.3802,25959527027.4479,25297618005.401,21387942944.8177,23943969371.7292,22944799959.151,21629618005.4896,20360775984.9401,20016566259.1927,28529261999.0833
SPTBN2,450379874.666667,285134240.0,217246685.333333,185750866.666667,278746152.0,315708202.666667,317695072.0,267896872.0,403318344.0,350255562.666667,340739077.333333,372789146.666667,406208432.0,309137381.333333,303059717.333333,265626842.666667,512874490.666667,203359904.0,41695488.6666667,278520122.666667,200984914.666667,401696445.333333,218144357.333333,254267640.0,154996218.666667,226062277.333333,395475637.333333,239836408.0,241646912.0,94894833.3333333,266385666.666667,220298476.0,232121328.0,189872949.333333,285590642.666667,329999904.0,279397818.666667,224844653.333333,246460496.0,251690362.666667,211111330.666667,218882650.666667,202384622.666667,224840066.666667,267206576.0
ACTN1,539033757.333333,303842641.333333,240979534.666667,205723239.0,304296918.0,385686284.0,341681588.0,322177544.666667,413491814.0,373462330.0,331456450.666667,359246569.333333,435567775.333333,274729538.0,319990646.0,264693490.666667,556664788.0,193953697.666667,20953375.3541667,298627493.666667,197490992.666667,458547233.333333,174194856.333333,267838068.0,158787938.666667,244960648.0,488012575.333333,234361116.666667,249852014.666667,97384858.3333333,257338915.666667,220614688.0,252080439.333333,222957929.333333,262767082.666667,321540685.333333,232002158.0,190128149.666667,270296922.333333,244737937.333333,202440260.333333,178446684.333333,175793416.666667,236167346.666667,283323568.0
LIMA1,105423501.609375,139143596.460938,228301206.007813,87452485.5625,82760349.6875,68368012.1132813,119176121.078125,233522659.914063,83666431.53125,100826747.59375,136036527.46875,128394560.328125,78852582.921875,84313284.015625,110227167.65625,87580694.96875,142492680.203125,111399729.203125,3225717.4140625,48327727.9375,120694536.453125,81247318.5,45724433.8359375,131023631.875,212779616.511719,72424179.03125,126379498.59375,107952668.859375,99010556.9375,48807823.75,50726035.84375,45279957.890625,47189509.03125,41192017.96875,54276090.640625,55744013.0625,45142290.265625,37397561.296875,39823449.296875,79329232.078125,40723437.6875,36322519.828125,41231088.84375,52943495.625,52712643.890625
MYH10,128128471.333333,119036743.833333,92255230.8333333,83878951.0,65368940.0,112602404.333333,103920785.666667,95834211.0,81335678.6666667,80343853.3333333,111147413.666667,112440560.666667,116419235.0,56864155.6666667,91606368.6666667,95422956.8333333,197216750.0,109269904.833333,1603479.83333333,117114351.333333,105069777.166667,146115557.333333,77916575.0,96340325.6666667,58013457.5,83642289.0,199515949.333333,113547887.833333,85928955.6666667,26705130.75,75320100.3333333,91078539.3333333,97072898.5,60638413.5,81148753.6666667,99849627.6666667,68375286.5,59674736.3333333,91740990.8333333,92976606.5,53693998.0,52890823.0,62811434.0,82293603.0,72919831.8333333
NOLC1,145669414.0,142418717.0,156265941.0,77822309.0,91744384.5,96931340.0,176381072.0,175713924.0,84810077.75,84323507.0,115993648.5,122631737.0,82463666.5,78543885.0,111084577.0,88674783.5,185561351.0,89505378.0,3062685.12109375,109564125.0,100872367.0,132571479.0,54959573.75,91847058.0,119438876.0,72636921.25,149296499.0,82376009.25,64362128.0,15873215.0625,63527516.5,49534889.5,54495670.0,42792373.125,73994874.75,103066010.0,73708732.0,40331365.75,57816983.625,106323544.5,31766570.625,42100361.25,41195194.375,62717237.5,55414082.0
TOP2A,687105002.666667,365762421.333333,351580576.0,301418041.833333,419569738.666667,595115029.333333,607106400.0,459162837.333333,506848202.666667,442205632.0,462202666.666667,454261205.333333,563784501.333333,284445658.666667,443538176.0,364335941.333333,762706432.0,309922805.333333,42826888.6666667,435178560.0,272977296.0,609207509.333333,373306037.333333,321004474.666667,182641181.104167,318835162.666667,527113909.333333,328173104.0,304070517.333333,139768509.333333,288770304.0,268427045.333333,364830400.0,269399034.666667,288190602.666667,462670069.333333,384937066.666667,366024087.028646,288698266.666667,383985002.666667,276428133.333333,203069418.666667,244918789.333333,283957399.080729,429670368.0
KRT10,1907825444.66667,1458359302.33333,1426039041.625,1924342664.75,1314707508.0,1840769893.0,1309717266.20833,1456161895.33333,2248104412.66667,1903376850.70833,1559578904.08333,1788096616.0,2487113161.66667,1808666524.33333,1648751411.25,1610983033.83333,2266206827.66667,1088101156.33333,930084010.583333,1498688978.75,1258218970.66667,1992490459.0,1558427459.33333,1490903648.16667,965716034.833333,1368295433.75,2280440842.0,1658844913.45833,1477188589.83333,849967324.0,1431314613.0,1302859154.66667,1331118806.33333,1334360136.0,1393560428.58333,1738618837.33333,1618489001.33333,1589089476.70833,2298688155.5,2986678164.33333,2709438259.83333,1029269487.33333,1354466916.95833,1114984791.375,1693349232.16667
MPRIP,208787968.0,142591404.0,114907456.0,86473824.0,137716720.0,138287476.0,160188436.0,145247472.0,180084176.0,142802420.0,141100384.0,172243056.0,195101280.0,129188516.0,133083944.0,118054988.0,266619392.0,78275856.0,6535805.5,124979372.0,73542120.0,210107664.0,74920712.0,104313052.0,62846482.0,94873578.0,224486088.0,97678296.0,111346509.0,44762084.0,120199636.0,108490248.0,117908772.0,104285972.0,121148500.0,162243488.0,111262128.0,86682468.0,105944920.0,97537480.0,85897128.0,82109978.0,65188450.0,103630920.0,122447552.0
AHNAK,988632226.666667,485314068.0,270052107.666667,423070757.333333,547352568.0,737642806.0,609319475.333333,353856880.666667,836111955.333333,740104836.666667,585104622.0,739536672.0,858570528.0,637697927.333333,656123041.333333,615423016.666667,1192887417.33333,411558489.0,810081070.020833,741922992.666667,365314490.666667,1061221180.66667,450182538.666667,481116052.666667,171597079.333333,561214024.0,1013197317.33333,506471908.0,487335405.666667,227172725.333333,656587712.666667,585193041.333333,596589294.0,554917459.333333,622396290.0,721187340.666667,620755957.333333,428719338.333333,779772024.666667,571449283.333333,483337317.0,472034434.333333,490586321.333333,524823786.666667,686240544.0
LIG3,841968565.333333,664767241.0,447987568.0,321686900.416667,443727440.541667,560436601.333333,630469370.666667,467690604.166667,518604727.333333,663164251.75,689078222.166667,768327346.333333,703070079.333333,417570631.666667,579073305.333333,521258285.083333,1010440219.83333,428750456.0,48106381.9166667,422828290.0,377922183.583333,726961528.291667,508613560.25,402648042.0,309027474.416667,528689729.333333,860377352.5,426867482.0,393466872.333333,248686030.666667,555872419.0,597923581.666667,476599353.666667,234744176.057292,420878364.416667,559517904.666667,515235740.166667,421779455.5,421193018.5,552606205.0,492512406.166667,470696744.333333,406826694.697917,330857169.0,587892528.5
SRRM2,330667936.666667,230394831.333333,177803954.0,209521844.333333,255046077.333333,278318811.333333,284429276.0,240996525.333333,337276012.0,269015127.333333,298774136.666667,299757951.333333,351335969.333333,404806501.333333,225748383.666667,241566245.333333,492337452.0,229945270.0,54914250.5416667,222182096.666667,236445246.0,397693617.333333,336263534.666667,223935961.333333,121213056.0,217855270.0,388360564.0,252761003.333333,259563681.333333,111976076.0,272739279.333333,260911991.333333,267248430.666667,160206644.333333,240807138.666667,376798846.666667,298827918.0,354733992.666667,214334042.666667,201418120.666667,253452583.0,252690409.0,292245414.666667,216556513.333333,310696502.0
HIST2H2BF,16999192997.3333,16216845176.8333,14654382224.9167,10582690448.8229,12436261823.5417,15007574571.3333,13427764719.1875,15531729791.875,13397724267.2396,16173763395.7813,14932201997.944,14926625227.0,13325595567.2917,12692556635.1458,13918354112.0,14352412999.9792,20712117174.6667,14057127643.3333,1537924591.63542,11587385316.0,14260795672.0,18503348804.0469,16870360128.7865,12816128226.9167,9774852675.0,12782351896.6667,20116643472.6667,12972152001.0,10254347561.1667,6668435077.91667,14655404692.5651,13261242556.3333,11234520829.8411,6547167471.16667,10639370683.7018,14130264358.6667,13039751226.4792,12682286060.4479,11397990703.3333,14516357239.2708,13590656064.4167,12625956974.0,12023124077.3333,10545914984.8229,14526966477.1484
DDX21,1075749714.83333,663930870.333333,500106503.833333,396322994.3125,582316466.989583,774119594.833333,850609149.5,630185665.166667,821025902.265625,670494196.46875,667581482.197917,876607566.833333,986969700.979167,685595962.9375,653967516.895833,545879384.291667,1110313388.66667,414727634.333333,72385380.8854167,596385567.625,371581281.75,826291184.791667,366918071.75,474226594.083333,273805220.791667,475870994.416667,987209077.416667,478113206.583333,431191003.25,171406322.9375,571562224.729167,482861635.510417,581177234.333333,435206138.666667,566309031.703125,819294414.395833,518976389.5,498519987.666667,472632451.166667,486196430.583333,409112631.625,414499837.958333,350130663.445313,470028963.552083,621490313.677083
BAZ1B,479055957.333333,266762122.666667,224322301.333333,111256566.666667,149259889.333333,252175522.666667,196820744.0,193825669.333333,251294912.0,214035376.0,270643197.375,259182421.333333,377443194.666667,220354786.666667,248802208.0,264102312.0,489892736.0,225214016.0,21982062.8333333,162656656.0,162604153.333333,287677669.333333,195633472.0,170114320.0,121892229.333333,202441861.333333,381589808.0,209048530.666667,197592413.333333,97269637.3333333,261609560.0,240030813.333333,257409829.333333,88862684.0,138935257.333333,260053453.333333,156718256.0,175588278.666667,207879077.333333,209523237.333333,201217288.0,160124657.333333,174334973.333333,186980080.0,273571642.666667
